MONTH,DAY,YEAR,temp,TIME
5,11,2024,29.9,193
5,12,2024,29.1,194
5,13,2024,28.9,195
5,14,2024,28.6,196
5,15,2024,28.4,197
5,16,2024,27.4,198
5,17,2024,29.1,199
5,18,2024,29.6,200
5,19,2024,29.6,201
5,20,2024,28.3,202
5,21,2024,29.4,203
5,22,2024,28.1,204
5,23,2024,28.5,205
5,24,2024,28.2,206
5,25,2024,28,207
5,26,2024,29.6,208
5,27,2024,30.6,209
5,28,2024,30,210
5,29,2024,30.6,211
5,30,2024,30,212
5,31,2024,30,213
6,1,2024,27.5,214
6,2,2024,27.5,215
6,3,2024,28.6,216
6,4,2024,29.2,217
6,5,2024,30.4,218
6,6,2024,28.9,219
6,7,2024,28.5,220
6,8,2024,29,221
6,9,2024,29.5,222
6,10,2024,28.7,223
6,11,2024,29.2,224
6,12,2024,28.9,225
6,13,2024,29.7,226
